guess,totalgreen,totalyellow,greenrank,yellowrank
BLUFF,451,752,#2815,#3045
BLUNT,745,1226,#810,#2465
BLURT,725,1471,#921,#1763
BLUSH,640,1140,#1591,#2628
BOARD,819,1550,#464,#1480
BOARS,753,1783,#771,#776
BOAST,943,1481,#132,#1725
BOATS,737,1687,#854,#1028
BODED,725,1131,#921,#2643
BODES,659,1636,#1420,#1206
BOGGY,698,560,#1120,#3086
BOGUS,485,1269,#2656,#2373
BOILS,688,1474,#1180,#1752
BOLES,681,1820,#1229,#683
BOLTS,558,1645,#2236,#1173
BOMBS,434,987,#2869,#2869
BONDS,532,1352,#2410,#2144
BONED,771,1489,#670,#1698
BONES,705,1722,#1069,#929
BONNY,834,615,#407,#3077
BONUS,541,1394,#2359,#2028
BOOBY,809,273,#496,#3103
BOOKS,620,774,#1760,#3037
BOOMS,629,843,#1691,#3002
BOONS,716,944,#994,#2929
BOORS,696,1189,#1136,#2536
BOOST,886,887,#244,#2974
BOOTH,761,864,#729,#2987
BOOTS,680,1093,#1238,#2709
BOOTY,896,706,#214,#3058
BOOZE,915,733,#163,#3052
BORAX,609,1508,#1845,#1632
BORED,794,1691,#551,#1019
BORES,728,1924,#895,#472
BORNE,964,1653,#108,#1146
BOSOM,526,946,#2436,#2925
BOUGH,638,968,#1606,#2890
BOUND,703,1065,#1088,#2756
BOUTS,601,1447,#1905,#1856
BOWED,686,1299,#1194,#2286
BOWEL,720,1471,#960,#1763
BOWER,745,1597,#810,#1322
BOWLS,513,1302,#2510,#2276
BOXED,678,1198,#1253,#2518
BOXER,737,1496,#854,#1675
BOXES,612,1431,#1826,#1908
BRACE,1050,1666,#18,#1103
BRAGS,679,1560,#1243,#1445
BRAID,815,1510,#477,#1622
BRAIN,815,1642,#477,#1185
BRAKE,986,1544,#74,#1509
BRAND,825,1428,#439,#1915
BRASS,751,1289,#783,#2315
BRATS,723,1810,#938,#707
BRAVE,979,1515,#83,#1604
BRAVO,681,1518,#1229,#1588
BRAWL,738,1446,#848,#1860
BRAWN,704,1406,#1077,#1982
BREAD,685,1979,#1204,#351
BREAK,670,1860,#1325,#592
BREED,786,1286,#593,#2320
BRIAR,805,1267,#515,#2381
BRIBE,894,1272,#220,#2367
BRICK,713,1103,#1016,#2694
BRIDE,931,1510,#141,#1622
BRIEF,775,1543,#645,#1513
BRIER,906,1282,#191,#2336
BRIGS,614,1402,#1802,#1989
BRIMS,607,1402,#1862,#1989
BRINE,1017,1556,#40,#1460
BRING,698,1283,#1120,#2332
BRINK,745,1151,#810,#2611
BRINY,910,1116,#178,#2681
BRISK,737,1194,#854,#2525
BROAD,754,1615,#767,#1260
BROIL,792,1560,#561,#1445
BROKE,929,1422,#145,#1937
BROOD,722,996,#945,#2856
BROOK,707,877,#1049,#2981
BROOM,663,999,#1377,#2851
BROTH,747,1459,#800,#1819
BROWN,647,1284,#1538,#2326
BROWS,581,1385,#2065,#2059
BRUIN,679,1402,#1243,#1989
BRUNT,801,1321,#524,#2218
BRUSH,696,1235,#1136,#2443
BRUTE,910,1623,#178,#1234
BUCKS,372,1101,#3020,#2698
BUDGE,724,1158,#932,#2600
BUGGY,607,454,#1862,#3098
BUGLE,774,1314,#653,#2239
BUILD,663,1135,#1377,#2639
BUILT,775,1268,#645,#2378
BULBS,380,1106,#3002,#2690
BULGE,746,1342,#803,#2166
BULKS,407,1220,#2943,#2475
BULKY,623,833,#1735,#3008
BULLS,483,1049,#2672,#2780
BULLY,699,662,#1114,#3068
BUMPS,359,1103,#3036,#2694
BUNCH,576,1015,#2112,#2828
BUNKS,431,1122,#2878,#2669
BUOYS,487,1312,#2646,#2247
BURLY,746,1201,#803,#2513
BURNS,550,1494,#2292,#1683
BURNT,728,1394,#895,#2028
BURRO,555,1185,#2263,#2546
BURRS,530,1129,#2421,#2645
BURST,720,1437,#960,#1894
BUSHY,572,998,#2149,#2852
BUSTS,438,1114,#2856,#2683
BUTTE,794,1144,#551,#2620
BUTTS,471,1091,#2731,#2714
BUXOM,395,933,#2971,#2934
BUYER,657,1627,#1444,#1222
CABAL,665,1126,#1354,#2655
CABBY,672,865,#1306,#2986
CABIN,635,1517,#1640,#1597
CABLE,882,1683,#257,#1045
CACAO,593,1059,#1961,#2766
CACHE,787,1410,#583,#1974
CADET,860,1827,#318,#665
CADRE,898,1901,#208,#518
CAGED,738,1655,#848,#1138
CAGES,672,1888,#1306,#538
CAIRN,777,1815,#636,#695
CAKED,699,1609,#1114,#1281
CAKES,633,1842,#1649,#632
CALLS,597,1446,#1931,#1860
CALMS,530,1686,#2421,#1031
CALYX,461,1388,#2778,#2048
CAMEL,767,1825,#693,#670
CAMEO,692,1942,#1159,#428
CAMPS,473,1500,#2721,#1663
CANAL,727,1279,#910,#2347
CANDY,771,1256,#670,#2402
CANES,728,2013,#895,#294
CANNY,857,906,#326,#2956
CANOE,918,1904,#161,#510
CANON,661,1354,#1396,#2136
CANTO,630,1894,#1685,#527
CAPER,789,1973,#574,#365
CAPES,664,1908,#1369,#503
CAPON,597,1645,#1931,#1173
CARDS,578,1845,#2090,#627
CARED,817,1982,#467,#345
CARES,751,2215,#783,#87
CARGO,609,1846,#1845,#624
CAROL,718,1992,#979,#332
CARRY,860,1139,#318,#2632
CARTS,628,2040,#1700,#259
CARVE,884,1745,#248,#856
CASED,741,1868,#827,#574
CASES,675,1686,#1274,#1031
CASKS,492,1192,#2618,#2528
CASTE,875,1979,#276,#351
CASTS,552,1511,#2282,#1619
CATCH,670,1229,#1325,#2461
CATER,833,2211,#415,#90
CAUSE,975,1685,#90,#1036
CAVED,730,1542,#881,#1519
CAVES,664,1775,#1369,#788
CAVIL,667,1472,#1340,#1759
CEASE,1071,1373,#7,#2088
CEDAR,666,2133,#1347,#152
CEDED,708,870,#1042,#2983
CELLS,557,1602,#2243,#1301
CENTS,565,1994,#2197,#327
CHAFE,905,1433,#193,#1904
CHAFF,576,951,#2112,#2914
CHAIN,748,1506,#796,#1641
CHAIR,807,1672,#503,#1081
CHALK,723,1267,#938,#2381
CHAMP,622,1203,#1746,#2502
CHANT,870,1425,#289,#1928
CHAOS,646,1687,#1545,#1028
CHAPS,585,1463,#2021,#1795
CHARM,679,1540,#1243,#1525
CHART,850,1670,#346,#1089
CHARY,888,1383,#236,#2061
CHASE,1007,1621,#50,#1240
CHASM,691,1338,#1167,#2175
CHATS,656,1674,#1454,#1073
CHEAP,569,1855,#2171,#601
CHEAT,730,1976,#881,#359
CHECK,585,1051,#2021,#2779
CHEEK,704,1031,#1077,#2809
CHEER,778,1448,#634,#1853
CHEFS,456,1622,#2793,#1236
CHESS,558,1395,#2236,#2023
CHEST,736,1710,#862,#964
CHICK,646,651,#1545,#3069
CHIDE,864,1374,#304,#2083
CHIEF,708,1407,#1042,#1979
CHILD,673,1228,#1288,#2462
CHILL,707,965,#1049,#2895
CHIME,863,1319,#308,#2221
CHINA,646,1608,#1545,#1282
CHINK,678,1015,#1253,#2828
CHINS,627,1367,#1706,#2104
CHIPS,520,1305,#2469,#2269
CHIRP,624,1391,#1727,#2038
CHOIR,750,1550,#785,#1480
CHOKE,862,1286,#310,#2320
CHOPS,528,1341,#2430,#2169
CHORD,681,1415,#1229,#1956
CHOSE,950,1499,#124,#1666
CHUCK,575,569,#2123,#3085
CHUMP,486,963,#2651,#2898
CHUMS,469,1184,#2740,#2550
CHUNK,607,933,#1862,#2934
CHURL,636,1469,#1631,#1773
CHURN,602,1429,#1896,#1912
CHUTE,843,1487,#372,#1702
CIDER,728,1848,#895,#621
CIGAR,617,1794,#1782,#741
CINCH,611,952,#1833,#2913
CIRCA,572,1624,#2149,#1230
CITED,695,1769,#1143,#799
CITES,629,2002,#1691,#313
CIVET,763,1531,#710,#1552
CIVIC,489,483,#2635,#3095
CIVIL,588,854,#2003,#2996
CLACK,740,967,#834,#2892
CLAIM,718,1535,#979,#1538
CLAMP,651,1361,#1494,#2120
CLAMS,634,1582,#1644,#1368
CLANG,725,1463,#921,#1795
CLANK,772,1331,#665,#2193
CLANS,721,1683,#952,#1045
CLAPS,614,1621,#1802,#1240
CLASH,794,1497,#551,#1672
CLASP,730,1505,#881,#1650
CLASS,713,1311,#1016,#2254
CLAWS,600,1529,#1911,#1558
CLEAN,647,2133,#1538,#152
CLEAR,706,2299,#1062,#42
CLEFS,485,1780,#2656,#782
CLEFT,663,1680,#1377,#1054
CLERK,626,1818,#1714,#687
CLEWS,474,1771,#2717,#797
CLICK,675,809,#1274,#3017
CLIFF,540,951,#2365,#2914
CLIMB,553,1190,#2277,#2535
CLIME,892,1477,#228,#1742
CLING,660,1305,#1407,#2269
CLINK,707,1173,#1049,#2574
CLIPS,549,1463,#2307,#1795
CLOAK,701,1518,#1102,#1588
CLOCK,683,845,#1214,#3001
CLODS,578,1515,#2090,#1604
CLOGS,584,1460,#2034,#1813
CLOSE,979,1657,#83,#1131
CLOTH,709,1481,#1035,#1725
CLOUD,653,1324,#1480,#2212
CLOUT,765,1457,#701,#1825
CLOVE,884,1415,#248,#1956
CLOWN,609,1306,#1845,#2267
CLUBS,462,1351,#2774,#2148
CLUCK,604,727,#1880,#3056
CLUES,672,1767,#1306,#803
CLUMP,515,1121,#2499,#2671
CLUNG,589,1223,#2000,#2470
COACH,840,1062,#384,#2760
COALS,771,1749,#670,#850
COAST,961,1598,#113,#1318
COATS,755,1804,#763,#716
COBRA,573,1848,#2140,#621
COCKS,481,1008,#2679,#2838
COCOA,550,1109,#2292,#2686
CODES,677,1753,#1260,#837
COILS,706,1591,#1062,#1338
COINS,726,1497,#917,#1672
COLDS,526,1567,#2436,#1416
COLIC,603,1263,#1889,#2389
COLON,632,1202,#1661,#2509
COLTS,576,1762,#2112,#817
COMBS,452,1296,#2809,#2299
COMER,787,1777,#583,#784
COMES,662,1712,#1384,#958
COMET,840,1612,#384,#1271
COMIC,566,1038,#2188,#2797
COMMA,507,1312,#2544,#2247
CONCH,685,922,#1204,#2942
CONES,723,1839,#938,#637
CONIC,627,1165,#1706,#2588
COOED,887,1152,#241,#2609
COOKS,638,891,#1606,#2969
COOLS,714,1155,#1006,#2606
COPRA,571,1896,#2162,#525
COPSE,887,1506,#241,#1641
CORAL,745,1965,#810,#388
CORDS,573,1671,#2140,#1086
CORES,746,2041,#803,#257
CORKS,563,1547,#2203,#1495
CORNS,659,1717,#1420,#944
CORPS,552,1655,#2282,#1138
COSTS,547,1337,#2315,#2177
COTES,703,1972,#1088,#370
COUCH,704,822,#1077,#3013
COUGH,656,1085,#1454,#2723
COULD,701,1276,#1102,#2355
COUNT,833,1315,#415,#2236
COUPE,871,1406,#285,#1982
COUPS,548,1353,#2310,#2140
COURT,813,1560,#484,#1445
COVER,784,1666,#606,#1103
COVES,659,1601,#1420,#1305
COVET,837,1501,#398,#1661
COVEY,875,1214,#276,#2485
COWED,704,1416,#1077,#1952
COWER,763,1714,#710,#954
COYLY,750,890,#785,#2970
COZEN,696,1443,#1136,#1868
CRABS,654,1686,#1473,#1031
CRACK,796,1062,#544,#2760
CRAFT,845,1533,#366,#1545
CRAGS,697,1677,#1126,#1064
CRAMP,707,1456,#1049,#1828
CRANE,1100,1831,#4,#653
CRANK,828,1426,#429,#1925
CRAPE,993,1769,#70,#799
CRASH,850,1592,#346,#1333
CRASS,769,1406,#683,#1982
CRATE,1064,1980,#12,#347
CRAVE,997,1632,#62,#1209
CRAWL,756,1563,#754,#1431
CRAZE,976,1567,#87,#1416
CRAZY,869,1127,#292,#2653
CREAK,688,1977,#1180,#357
CREAM,644,2099,#1560,#193
CREDO,590,2030,#1991,#273
CREED,804,1403,#516,#1986
CREEK,789,1284,#574,#2326
CREEP,755,1415,#763,#1956
CREPE,867,1303,#299,#2273
CREPT,722,1858,#945,#598
CRESS,643,1648,#1571,#1162
CREST,821,1963,#452,#393
CREWS,530,1866,#2421,#581
CRIBS,589,1528,#2000,#1560
CRICK,731,904,#876,#2960
CRIED,865,1711,#302,#963
CRIER,924,1399,#152,#2006
CRIES,799,1944,#531,#426
CRIME,948,1572,#127,#1400
CRIMP,642,1298,#1577,#2290
CRISP,721,1442,#952,#1873
CROAK,757,1613,#746,#1265
CROCK,739,940,#844,#2930
CRONE,1043,1709,#22,#970
CRONY,936,1269,#139,#2373
CROOK,725,994,#921,#2859
CROPS,613,1594,#1813,#1330
CROSS,712,1284,#1019,#2326
CROUP,660,1431,#1407,#1908
CROWD,665,1269,#1354,#2373
CROWN,665,1401,#1354,#1995
CROWS,599,1502,#1919,#1658
CRUDE,878,1545,#266,#1506
CRUEL,828,1801,#429,#721
CRUMB,538,1203,#2375,#2502
CRUSH,714,1352,#1006,#2144
CRUST,811,1481,#491,#1725
CRYPT,611,1422,#1833,#1937
CUBES,570,1580,#2166,#1377
CUBIC,474,906,#2717,#2956
CUBIT,651,1238,#1494,#2438
CUFFS,352,947,#3044,#2923
CULTS,485,1656,#2656,#1135
CURDS,482,1565,#2677,#1424
CURED,721,1702,#952,#987
CURES,655,1935,#1467,#451
CURLS,548,1705,#2310,#979
CURLY,764,1318,#706,#2224
CURRY,764,859,#706,#2993
CURSE,883,1707,#254,#975
CURST,738,1554,#848,#1469
CURVE,788,1465,#581,#1788
CYCLE,673,1280,#1288,#2341
CYNIC,420,1120,#2917,#2674
DADDY,654,634,#1473,#3073
DAILY,856,1397,#330,#2010
DAIRY,856,1548,#330,#1491
DAISY,868,1346,#295,#2158
DALES,633,2130,#1649,#158
DALLY,742,1078,#823,#2739
DAMES,596,1905,#1942,#509
DAMPS,402,1519,#2956,#1584
DANCE,861,1713,#316,#956
DANDY,700,1003,#1109,#2843
DARED,746,1729,#803,#907
DARES,680,2234,#1238,#73
DARTS,557,2059,#2243,#233
DATED,703,1660,#1088,#1123
DATES,637,2165,#1622,#122
DATUM,480,1607,#2685,#1288
DAUBS,466,1516,#2758,#1601
DAUNT,767,1508,#693,#1632
DAWNS,485,1518,#2656,#1588
DAZED,630,1232,#1685,#2452
DEALS,665,2098,#1354,#195
DEALT,843,1998,#372,#320
DEANS,685,2004,#1204,#309
DEARS,665,2249,#1354,#67
DEATH,730,1924,#881,#472
DEBAR,579,2085,#2076,#210
DEBIT,636,1693,#1631,#1012
DEBTS,432,1860,#2875,#592
DEBUT,569,1607,#2171,#1288
DECAY,673,1765,#1288,#810
DECKS,375,1673,#3013,#1077
DECOY,641,1618,#1583,#1254
DECRY,667,1701,#1340,#990
DEEDS,473,1220,#2721,#2475
DEEMS,472,1437,#2726,#1894
DEEPS,452,1476,#2809,#1745
DEFER,659,1373,#1420,#2088
DEIGN,606,1644,#1872,#1179
DEITY,800,1608,#527,#1282
DELAY,708,1884,#1042,#545
DELLS,486,1621,#2651,#1240
DELTA,489,2352,#2635,#27
DELVE,726,1108,#917,#2687
DEMON,489,1798,#2635,#728
DEMUR,517,1798,#2486,#728
DENSE,845,1252,#366,#2412
DENTS,494,2013,#2610,#294
DEPOT,598,1821,#1926,#679
DEPTH,511,1679,#2523,#1060
DERBY,646,1587,#1545,#1350
DESKS,381,1367,#3000,#2104
DETER,722,1678,#945,#1061
DEUCE,840,1061,#384,#2763
DEVIL,556,1647,#2250,#1166
DIARY,842,1562,#379,#1437
DICED,585,1362,#2021,#2114
DICES,519,1867,#2473,#577
DICTA,415,1933,#2927,#455
DIETS,484,2095,#2668,#198
DIGIT,603,947,#1889,#2923
DIKES,483,1717,#2672,#944
DIMES,517,1761,#2486,#818
DIMLY,626,1144,#1714,#2620
DINED,644,1383,#1560,#2061
DINER,703,1953,#1088,#405
DINES,578,1888,#2090,#538
DINGY,627,1076,#1706,#2740
DIRGE,757,1718,#746,#942
DIRTY,694,1528,#1150,#1560
DISCS,406,1189,#2945,#2536
DISKS,342,1067,#3053,#2751
DITCH,520,1420,#2469,#1943
DITTO,460,1419,#2782,#1947
DITTY,651,976,#1494,#2881
DIVAN,479,1534,#2692,#1540
DIVED,580,1145,#2070,#2619
DIVER,639,1715,#1597,#951
DIVES,514,1650,#2501,#1157
DIZZY,490,595,#2631,#3080
DOCKS,410,1343,#2935,#2163
DODGE,762,1128,#723,#2649
DOERS,574,2161,#2130,#127
DOGMA,441,1549,#2849,#1489
DOING,659,1296,#1420,#2299
DOLED,694,1451,#1150,#1842
DOLLS,521,1291,#2465,#2310
DOMED,657,1226,#1444,#2465
DOMES,591,1731,#1982,#899
DONOR,644,1289,#1560,#2315
DOOMS,576,979,#2112,#2874
DOORS,643,1325,#1571,#2209
DOSED,665,1441,#1354,#1878
DOSES,599,1531,#1919,#1552
DOTED,698,1486,#1120,#1706
DOTES,632,1991,#1661,#333
DOUBT,639,1242,#1597,#2427
DOUGH,585,1104,#2021,#2692
DOVES,588,1620,#2003,#1246
DOWDY,610,639,#1839,#3072
DOWNS,480,1344,#2685,#2161
DOWNY,696,957,#1136,#2910
DOWRY,676,1202,#1268,#2509
DOZED,625,1058,#1720,#2768
DOZEN,625,1462,#1720,#1802
DRAFT,774,1552,#653,#1472
DRAGS,626,1696,#1714,#1002
DRAIN,762,1778,#723,#783
DRAKE,933,1680,#140,#1054
DRAMA,638,1279,#1606,#2347
DRAMS,619,1696,#1769,#1002
DRANK,757,1445,#746,#1863
DRAPE,922,1788,#154,#762
DRAWL,685,1582,#1204,#1368
DRAWN,651,1542,#1494,#1519
DRAWS,585,1643,#2021,#1182
DRAYS,568,1799,#2177,#725
DREAD,632,1843,#1661,#630
DREAM,573,2118,#2140,#170
DREGS,500,1938,#2582,#440
DRESS,572,1667,#2149,#1100
DRIED,794,1458,#551,#1822
DRIER,853,1418,#337,#1949
DRIES,728,1963,#895,#393
DRIFT,709,1394,#1035,#2028
DRILL,721,1237,#952,#2441
DRILY,837,1346,#398,#2158
DRINK,692,1287,#1159,#2319
